X (RT/min),Y (Intensity)
15.78,501912.7773527163
15.79,501912.7773527163
15.8,501912.7773527163
15.81,501912.7773527163
15.82,501912.7773527163
15.84,489671.00229533325
15.85,489671.00229533325
15.86,489671.00229533325
15.87,489671.00229533325
15.88,477429.22723795014
15.89,477429.22723795014
15.9,477429.22723795014
15.91,465187.452180567
15.93,416220.3519510328
15.94,73450.65034430043
15.95,48967.100229532436
15.96,36725.32517214933
15.97,36725.32517214933
15.98,36725.32517214933
15.99,48967.100229532436
16.0,85692.42540168353
16.02,244835.50114766572
16.03,293802.6013771999
16.04,306044.37643458304
16.05,306044.37643458304
16.06,306044.37643458304
16.07,318286.15149196616
16.08,318286.15149196616
16.09,318286.15149196616
16.11,306044.37643458304
16.12,183626.62586075018
16.13,73450.65034430043
16.14,36725.32517214933
16.15,12241.775057383109
16.16,12241.775057383109
16.17,12241.775057383109
16.18,12241.775057383109
16.2,24483.550114766218
16.21,24483.550114766218
16.22,24483.550114766218
16.23,36725.32517214933
16.24,36725.32517214933
16.25,48967.100229532436
16.26,48967.100229532436
16.27,61208.87528691732
16.29,73450.65034430043
16.3,146901.3006885991
16.31,159143.07574598395
16.32,159143.07574598395
16.33,171384.85080336707
16.34,171384.85080336707
16.35,159143.07574598395
16.36,146901.3006885991
16.37,48967.100229532436
16.39,24483.550114766218
16.4,24483.550114766218
16.41,12241.775057383109
16.42,12241.775057383109
16.43,12241.775057383109
16.44,12241.775057383109
16.45,24483.550114766218
16.46,24483.550114766218
16.48,36725.32517214933
16.49,48967.100229532436
16.5,48967.100229532436
16.51,61208.87528691732
16.52,73450.65034430043
16.53,73450.65034430043
16.54,85692.42540168353
16.55,122417.75057383286
16.57,281560.8263198168
16.58,293802.6013771999
16.59,306044.37643458304
16.6,306044.37643458304
16.61,318286.15149196616
16.62,318286.15149196616
16.63,306044.37643458304
16.64,306044.37643458304
16.66,293802.6013771999
16.67,269319.0512624337
16.68,110175.97551644975
16.69,36725.32517214933
16.7,36725.32517214933
16.71,36725.32517214933
16.72,36725.32517214933
16.73,24483.550114766218
16.75,24483.550114766218
16.76,24483.550114766218
16.77,36725.32517214933
16.78,36725.32517214933
16.79,36725.32517214933
16.8,36725.32517214933
16.81,36725.32517214933
16.82,36725.32517214933
16.84,24483.550114766218
16.85,24483.550114766218
16.86,12241.775057383109
16.87,12241.775057383109
16.88,12241.775057383109
16.89,12241.775057383109
16.9,12241.775057383109
16.91,12241.775057383109
16.92,12241.775057383109
16.94,12241.775057383109
16.95,12241.775057383109
16.96,12241.775057383109
16.97,12241.775057383109
16.98,12241.775057383109
16.99,12241.775057383109
17.0,12241.775057383109
17.01,12241.775057383109
17.03,24483.550114766218
17.04,24483.550114766218
17.05,36725.32517214933
17.06,36725.32517214933
17.07,36725.32517214933
17.08,36725.32517214933
17.09,24483.550114766218
17.1,24483.550114766218
17.12,24483.550114766218
17.13,12241.775057383109
17.14,12241.775057383109
17.15,12241.775057383109
17.16,12241.775057383109
17.17,24483.550114766218
